Disease,Diet
Dimorphic hemmorhoids(piles),"['High-fiber diet', 'Whole grains', 'Legumes', 'Fruits (prunes, pears)', 'Vegetables', 'Plenty of water', 'Avoid spicy foods', 'Probiotics']"
hepatitis A,"['Small frequent meals', 'High-calorie foods', 'Fruit juices', 'Avoid alcohol', 'Low-fat diet', 'Hydration', 'Soft foods', 'Ginger tea']"
Hepatitis B,"['Balanced diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Avoid alcohol', 'Limit processed foods', 'Low-salt', 'Hydration']"
Hepatitis C,"['Healthy balanced diet', 'Limit iron intake (if advised)', 'Avoid alcohol', 'Low-salt diet', 'Limit sugar', 'Hydration', 'Coffee', 'Fruits']"
Hepatitis D,"['High-calorie', 'Protein-rich (unless encephalopathy)', 'Hypoallergenic foods', 'Absolute alcohol avoidance', 'Hydration', 'Vitamin B complex']"
Hepatitis E,"['Boiled water', 'Cooked foods', 'Fruits (peeled)', 'Avoid street food', 'Hydration', 'Light meals', 'Avoid alcohol', 'Electrolytes']"
Alcoholic hepatitis,"['High-calorie diet', 'High-protein diet', 'Vitamin supplements (B1, B12, K)', 'Low-sodium', 'Small frequent meals', 'No alcohol', 'Hydration', 'Enteral feeding if needed']"
Diabetes,"['Low-glycemic index foods', 'Whole grains', 'Leafy green vegetables', 'Lean proteins', 'Healthy fats (nuts, seeds)', 'Avoid sugary drinks', 'Portion control', 'Regular meal timings']"
Hypothyroidism,"['Iodine-rich foods (if deficiency)', 'Selenium-rich foods (Brazilian nuts)', 'Zinc-rich foods', 'Fiber', 'Bone broth', 'Avoid soy in excess', 'Avoid goitrogenic veggies raw', 'Gluten-free (if sensitive)']"
Hyperthyroidism,"['Low-iodine diet', 'Cruciferous vegetables', 'Calcium-rich foods', 'Vitamin D', 'Healthy fats', 'High-calorie (if weight loss severe)', 'Avoid caffeine', 'Selenium']"
Hypoglycemia,"['Complex carbohydrates', 'Fiber-rich foods', 'Protein with carbs', 'Regular meals', 'Avoid sugary snacks alone', 'Whole grains', 'Fruits', 'Nuts']"
Bronchial Asthma,"['Magnesium-rich foods', 'Omega-3 fatty acids', 'Vitamin D rich foods', 'Antioxidant-rich fruits', 'Avoiding sulfites (dried fruits)', 'Avoiding gas-inducing foods', 'Ginger and turmeric', 'Hydration']"
Common Cold,"['Chicken soup', 'Warm tea with honey', 'Citrus fruits', 'Garlic', 'Ginger', 'Spicy foods (clear sinuses)', 'Hydration', 'Probiotics']"
Pneumonia,"['High-calorie foods', 'Protein-rich foods', 'Fruits and vegetables', 'Hydration', 'Warm fluids', 'Honey and lemon', 'Soups', 'Smoothies']"
Tuberculosis,"['High-protein diet', 'Calorie-dense foods', 'Citrus fruits', 'Leafy vegetables', 'Whole grains', 'Eggs', 'Milk', 'Nuts']"
Hypertension,"['DASH diet', 'Low-sodium foods', 'Potassium-rich foods', 'Whole grains', 'Low-fat dairy', 'Fruits and vegetables', 'Limit alcohol', 'Reduce caffeine']"
Heart attack,"['Heart-healthy diet', 'Low-sodium', 'Low-saturated fat', 'Fruits and vegetables', 'Whole grains', 'Omega-3 fatty acids', 'Nuts', 'Avoid processed foods']"
Varicose veins,"['High-fiber diet', 'Vitamin C and E', 'Flavonoid-rich foods (berries)', 'Potassium-rich foods', 'Low-salt diet', 'Hydration', 'Chia seeds', 'Ginger']"
Migraine,"['Magnesium-rich foods', 'Riboflavin (B2) foods', 'Identify food triggers', 'Hydration', 'Ginger tea', 'Regular meals', 'Avoid aged cheeses', 'Avoid processed meats']"
Paralysis (brain hemorrhage),"['Low-sodium diet', 'Heart-healthy foods', 'High-fiber diet', 'Easy to chew/swallow foods (if needed)', 'Hydration', 'Balanced nutrition']"
(vertigo) Paroymsal Positional Vertigo,"['Low-salt diet', 'Hydration', 'Avoid caffeine', 'Avoid alcohol', 'Vitamin B6', 'Ginger', 'Ginkgo biloba', 'Whole foods']"
Malaria,"['High-calorie diet', 'High-protein diet', 'Fluid intake', 'Vitamin C rich fruits', 'Electroyltes', 'Easily digestible foods', 'Khichdi/Porridge', 'Coconut water']"
Dengue,"['Papaya leaf juice', 'Coconut water', 'High-protein diet', 'Vitamin C rich fruits', 'Pomegranate', 'Spinach', 'Hydration', 'Soft easy-to-digest foods']"
Typhoid,"['High-calorie diet', 'High-protein diet', 'Soft cooked foods', 'Boiled water', 'Yogurt', 'Avoid fiber-rich foods (during acute phase)', 'Fruit juices (hygienic)', 'Mashed bananas']"
Cervical spondylosis,"['Anti-inflammatory diet', 'Calcium-rich foods', 'Vitamin D rich foods', 'Omega-3 fatty acids', 'Protein for muscle repair', 'Hydration', 'Fruits and vegetables']"
Osteoarthristis,"['Anti-inflammatory diet', 'Omega-3 fatty acids', 'Vitamin D and C', 'Calcium-rich foods', 'Weight loss diet', 'Green tea', 'Nuts and seeds', 'Avoid sugar']"
Arthritis,"['Mediterranean diet', 'Fatty fish', 'Olive oil', 'Berries', 'Nuts', 'Garlic', 'Spinach', 'Avoid processed foods']"
Urinary tract infection,"['Cranberry juice/extract', 'Water (lots)', 'Probiotic yogurt', 'Vitamin C', 'Avoid caffeine', 'Avoid alcohol', 'Avoid spicy foods', 'Blueberries']"
Eczema,"['Anti-inflammatory foods', 'Omega-3 fatty acids', 'Probiotics', 'Vitamin D rich foods', 'Avoid dairy if trigger', 'Hydration', 'Turmeric']"
Contact Dermatitis,"['Anti-inflammatory foods', 'Omega-3 fatty acids', 'Vitamin C rich foods', 'Hydration', 'Avoid processed foods', 'Fresh fruits and vegetables']"
Rosacea,"['Anti-inflammatory foods', 'Avoid spicy foods', 'Avoid alcohol', 'Avoid hot drinks', 'Omega-3 fatty acids', 'Probiotics', 'Cool water']"
Shingles,"['Vitamin C rich foods', 'Lysine-rich foods', 'Whole grains', 'Leafy greens', 'Hydration', 'Avoid arginine-rich foods', 'Immune-boosting foods']"
Urticaria,"['Low-histamine diet', 'Avoid shellfish if trigger', 'Fresh fruits', 'Fresh vegetables', 'Hydration', 'Avoid alcohol', 'Avoid processed foods']"
COPD,"['High-protein diet', 'Small frequent meals', 'Omega-3 fatty acids', 'Antioxidant-rich foods', 'Avoid gas-producing foods', 'Hydration', 'Limit salt']"
Sinusitis,"['Warm soups and broths', 'Spicy foods to clear sinuses', 'Ginger tea', 'Turmeric milk', 'Hydration', 'Vitamin C foods', 'Garlic']"
Tonsillitis,"['Soft foods', 'Warm soups', 'Ice cream and popsicles', 'Honey and lemon tea', 'Avoid acidic foods', 'Hydration', 'Smoothies']"
Post-viral Cough,"['Warm fluids', 'Honey', 'Ginger tea', 'Turmeric milk', 'Soups', 'Avoid cold drinks', 'Hydration']"
Pharyngitis,"['Warm soups', 'Soft foods', 'Honey and lemon tea', 'Ice cream', 'Avoid spicy foods', 'Avoid acidic foods', 'Hydration']"
IBS,"['Low-FODMAP diet', 'High-fiber foods', 'Probiotics', 'Avoid caffeine', 'Avoid alcohol', 'Small frequent meals', 'Hydration']"
Gastritis,"['Bland diet', 'Small frequent meals', 'Probiotics', 'Avoid spicy foods', 'Avoid acidic foods', 'Oatmeal', 'Bananas', 'Rice']"
Food Poisoning,"['BRAT diet (Banana, Rice, Applesauce, Toast)', 'Clear broths', 'Crackers', 'Oral rehydration solution', 'Avoid dairy', 'Avoid fatty foods', 'Small sips of water']"
Peptic Ulcer,"['High-fiber foods', 'Probiotics', 'Fruits and vegetables', 'Lean proteins', 'Avoid spicy foods', 'Avoid coffee', 'Avoid alcohol']"
Tension Headache,"['Magnesium-rich foods', 'Hydration', 'Regular meals', 'Avoid skipping meals', 'Limit caffeine', 'Avoid alcohol', 'Fresh fruits and vegetables']"
Cervical Radiculopathy,"['Anti-inflammatory foods', 'Calcium-rich foods', 'Vitamin D foods', 'Omega-3 fatty acids', 'Hydration', 'Fresh vegetables']"
Vertigo,"['Low-salt diet', 'Hydration', 'Avoid caffeine', 'Avoid alcohol', 'Ginger tea', 'Vitamin B6 foods', 'Regular meals']"
PCOS,"['Low-glycemic index foods', 'High-fiber foods', 'Lean proteins', 'Anti-inflammatory foods', 'Avoid sugar', 'Avoid processed foods', 'Whole grains']"
Viral Fever,"['Light easily digestible foods', 'Warm soups', 'Fresh fruit juices', 'Coconut water', 'Khichdi', 'Hydration', 'Vitamin C rich fruits']"
Flu,"['Chicken soup', 'Warm fluids', 'Vitamin C rich fruits', 'Ginger tea', 'Honey and lemon', 'Light meals', 'Electrolytes']"
Angina,"['Heart-healthy diet', 'Low-sodium foods', 'Omega-3 fatty acids', 'Fruits and vegetables', 'Whole grains', 'Avoid saturated fats', 'Limit alcohol']"
Palpitations,"['Magnesium-rich foods', 'Potassium-rich foods', 'Avoid caffeine', 'Avoid alcohol', 'Hydration', 'Regular balanced meals', 'Avoid energy drinks']"
Kidney Stones,"['High water intake', 'Lemon water', 'Low-sodium diet', 'Limit animal protein', 'Calcium-rich foods', 'Avoid excessive oxalate foods', 'Fresh fruits']"
Diaper Rash,"['Breastfeeding if possible', 'Avoid acidic foods in diet if breastfeeding', 'Probiotics for baby', 'Hydration']"
Otitis Media,"['Vitamin C rich foods', 'Zinc-rich foods', 'Probiotics', 'Warm fluids', 'Avoid dairy if mucus increases', 'Hydration']"
Hand Foot Mouth Disease,"['Cold soft foods', 'Ice cream', 'Yogurt', 'Smoothies', 'Avoid acidic foods', 'Avoid spicy foods', 'Plenty of fluids']"
Muscle Strain,"['Protein-rich foods', 'Vitamin C for healing', 'Anti-inflammatory foods', 'Magnesium-rich foods', 'Hydration', 'Omega-3 fatty acids']"
Sciatica,"['Anti-inflammatory foods', 'Omega-3 fatty acids', 'Magnesium-rich foods', 'Vitamin B12 foods', 'Turmeric', 'Hydration']"
Urinary Tract Infection,"['Cranberry juice', 'Plenty of water', 'Probiotic yogurt', 'Vitamin C foods', 'Avoid caffeine', 'Avoid alcohol', 'Blueberries']"
COVID-19,"['Vitamin C rich fruits', 'Protein-rich foods', 'Warm soups', 'Ginger and turmeric', 'Hydration', 'Zinc-rich foods', 'Garlic', 'Honey and lemon tea']"
Meningitis,"['High-calorie foods', 'Protein for healing', 'Hydration', 'Soft easily digestible foods', 'Vitamin-rich foods', 'Electrolytes']"
Anemia,"['Iron-rich foods (spinach, liver)', 'Vitamin C for iron absorption', 'Beetroot', 'Pomegranate', 'Legumes', 'Red meat', 'Fortified cereals', 'Avoid tea with meals']"
Conjunctivitis,"['Vitamin A rich foods', 'Green leafy vegetables', 'Carrots', 'Omega-3 fatty acids', 'Hydration', 'Vitamin C foods']"
Seborrheic Dermatitis,"['Anti-inflammatory foods', 'Omega-3 fatty acids', 'Probiotics', 'Avoid sugar', 'Avoid dairy if trigger', 'Zinc-rich foods', 'Vitamin B foods']"
Ringworm,"['Probiotic-rich foods', 'Garlic', 'Low-sugar diet', 'Coconut oil', 'Vitamin C foods', 'Turmeric', 'Leafy greens']"
