Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Symptom_18,Symptom_19,Symptom_20
Tuberculosis,cough,high_fever,breathlessness,blood_in_sputum,chest_pain,weight_loss,night_sweats,fatigue,,,,,,,,,,,,
Hypertension,headache,chest_pain,dizziness,shortness_of_breath,pounding_in_chest_ears,nosebleeds,irregular_heartbeat,visual_disturbances,,,,,,,,,,,,
Heart attack,chest_pain,pain_radiating_to_arm,shortness_of_breath,sweating,nausea,dizziness,palpitations,anxiety,impending_doom_feeling,cold_sweat,,,,,,,,,,
Varicose veins,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf,aching_legs,fatigue,cramps,bruising,,,,,,,,,,,,,
Migraine,headache,nausea,vomiting,sensitivity_to_light,sensitivity_to_sound,aura,pulsing_pain,dizziness,,,,,,,,,,,,
Paralysis (brain hemorrhage),weakness_of_one_body_side,slurred_speech,altered_sensorium,facial_droop,loss_of_balance,confusion,headache,vomiting,,,,,,,,,,,,
(vertigo) Paroymsal Positional Vertigo,spinning_movements,loss_of_balance,dizziness,nausea,vomiting,unsteadiness,nystagmus (eye jerking),,,,,,,,,,,,,
Malaria,chills,high_fever,sweating,headache,nausea,vomiting,muscle_pain,diarrhea,anemia,,,,,,,,,,,
Dengue,skin_rash,high_fever,headache,pain_behind_eyes,joint_pain,muscle_pain,fatigue,nausea,vomiting,bleeding_gums,low_platelet_count,,,,,,,,,
Typhoid,high_fever,headache,abdominal_pain,constipation,diarrhea,weakness,muscle_ache,rash_rose_spots,,,,,,,,,,,,
Cervical spondylosis,neck_pain,stiffness_in_neck,shoulder_pain,arm_pain,back_pain,weakness_in_limbs,dizziness,numbness_in_arms,,,,,,,,,,,,
Osteoarthristis,joint_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking,stiffness,grating_sensation,pain_worse_with_activity,,,,,,,,,,,,
Arthritis,joint_pain,swelling_joints,stiff_neck,movement_stiffness,painful_walking,redness,tenderness,morning_stiffness,,,,,,,,,,,,
Urinary tract infection,burning_micturition,frequent_urination,bladder_discomfort,pelvic_pain,foul_smell_of_urine,cloudy_urine,blood_in_urine,back_pain,,,,,,,,,,,,
