Disease,Medication
Hand Foot Mouth Disease,"['Paracetamol for fever and pain', 'Mouth ulcer gel', 'Cold drinks for comfort', 'Popsicles', 'Throat lozenges for older children']"
Muscle Strain,"['Paracetamol', 'Ibuprofen', 'Ice packs', 'Heat therapy (after 48 hours)', 'Topical pain relievers', 'Compression bandage']"
Sciatica,"['Paracetamol', 'Ibuprofen', 'Hot or cold packs', 'Topical pain relievers', 'Gentle stretching']"
Urinary Tract Infection,"['Cranberry supplements', 'Paracetamol for pain', 'ORS for hydration', 'Probiotics', 'D-Mannose', 'Plenty of water']"
COVID-19,"['Paracetamol for fever', 'Antivirals if prescribed', 'Cough suppressants', 'Vitamin C', 'Zinc supplements', 'Steam inhalation', 'Oxygen therapy if needed']"
Meningitis,"['Antibiotics (IV)', 'Corticosteroids', 'Anticonvulsants', 'Pain relievers', 'IV fluids', 'Oxygen therapy', 'ICU care if severe']"
Anemia,"['Iron supplements', 'Vitamin B12', 'Folic acid', 'Vitamin C for absorption', 'Blood transfusion if severe', 'Iron injections']"
Conjunctivitis,"['Antibiotic eye drops', 'Antihistamine eye drops', 'Artificial tears', 'Cool compresses', 'Antiviral drops if viral']"
Seborrheic Dermatitis,"['Ketoconazole shampoo', 'Selenium sulfide shampoo', 'Zinc pyrithione shampoo', 'Hydrocortisone cream', 'Antifungal creams', 'Coal tar shampoo']"
Ringworm,"['Clotrimazole cream', 'Miconazole cream', 'Terbinafine cream', 'Ketoconazole cream', 'Oral antifungals if severe', 'Antifungal powder']"
